Commodity,ID,Date,Value,Volume
Gold,GC,10/15/2020,1908.9,188302
Gold,GC,9/15/2020,1958,6698
Gold,GC,8/15/2020,1942.3,0
Gold,GC,7/15/2020,1813.8,253207
Gold,GC,6/15/2020,1727.2,151397
Gold,GC,5/15/2020,1768,21056
Gold,GC,4/15/2020,1741.2,9462
Gold,GC,3/15/2020,1516.7,0
Gold,GC,2/15/2020,1586.4,0
Gold,GC,1/15/2020,1554,340913
Gold,GC,12/15/2019,1481.2,0
Gold,GC,11/15/2019,1475.4,43478
Gold,GC,10/15/2019,1490.3,6090
Gold,GC,9/15/2019,1492.9,0
Gold,GC,8/15/2019,1525.1,11636
Gold,GC,7/15/2019,1413.5,284967
Gold,GC,6/15/2019,1340.1,0
Gold,GC,5/15/2019,1297.8,222050
Gold,GC,4/15/2019,1291.3,192493
Gold,GC,3/15/2019,1308.9,31493
Gold,GC,2/15/2019,1328.5,3611
Gold,GC,1/15/2019,1301.3,6554
Gold,GC,12/15/2018,1253.9,0
Gold,GC,11/15/2018,1233.6,1594
Gold,GC,10/15/2018,1248.4,1041
Gold,GC,9/15/2018,1218.4,0
Gold,GC,8/15/2018,1201.9,132
Gold,GC,7/15/2018,1270.2,0
Gold,GC,6/15/2018,1309.7,65
Gold,GC,5/15/2018,1328.4,107
Gold,GC,4/15/2018,1386.4,0
Gold,GC,3/15/2018,1360.2,55
Gold,GC,2/15/2018,1395.4,128
Gold,GC,1/15/2018,1376.9,0
Gold,GC,12/15/2017,1293.9,38
Gold,GC,11/15/2017,1281.6,373412
Gold,GC,10/15/2017,1304.6,0
Gold,GC,9/15/2017,1325.2,336576
Gold,GC,8/15/2017,1276.3,5489
Gold,GC,7/15/2017,1227.5,0
Gold,GC,6/15/2017,1254.6,348339
Gold,GC,5/15/2017,1230,199881
Gold,GC,4/15/2017,1288.5,0
Gold,GC,3/15/2017,1200.7,183719
Gold,GC,2/15/2017,1233.1,233752
Gold,GC,1/15/2017,1196.2,0
Gold,GC,12/15/2016,1129.8,214400
Gold,GC,11/15/2016,1224.5,351968
Gold,GC,10/15/2016,1255.5,0
Gold,GC,9/15/2016,1314,4424
Gold,GC,8/15/2016,1343.2,9393
Gold,GC,7/15/2016,1327.4,264334
Gold,GC,6/15/2016,1288.3,193067
Gold,GC,5/15/2016,1272.7,0
Gold,GC,4/15/2016,1234.6,204794
Gold,GC,3/15/2016,1231,207557
Gold,GC,2/15/2016,1239.4,0
Gold,GC,1/15/2016,1090.7,174240
