Country Name,Country Code,FY2019
Macao,MAC,129451
Luxembourg,LUX,121293
Singapore,SGP,101649
Qatar,QAT,94029
Ireland,IRL,88241
Bermuda,BMU,85418
Switzerland,CHE,70989
United Arab Emirates,ARE,70089
Norway,NOR,66832
United States,USA,65298
Brunei Darussalam,BRN,64848
North America,NAC,63867
Hong Kong,HKG,62496
Denmark,DNK,60178
Iceland,ISL,60061
Netherlands,NLD,59554
Austria,AUT,58946
Germany,DEU,56278
Sweden,SWE,55820
Belgium,BEL,54905
Australia,AUS,53469
High income,HIC,52123
Kuwait,KWT,52060
Finland,FIN,51426
Canada,CAN,51342
France,FRA,49435
Saudi Arabia,SAU,49040
United Kingdom,GBR,48698
Bahrain,BHR,47003
Malta,MLT,46279
Italy,ITA,44248
New Zealand,NZL,43953
Czech Republic,CZE,43300
Japan,JPN,43236
North Korea,KOR,43143
Spain,ESP,42195
Israel,ISR,42146
Cyprus,CYP,41254
Slovenia,SVN,40983
Estonia,EST,38915
Bahamas,BHS,38743
Lithuania,LTU,38502
Portugal,PRT,36639
Puerto Rico,PRI,36045
Hungary,HUN,34507
Poland,POL,34431
Slovakia,SVK,34067
Panama,PAN,32851
Romania,ROU,32297
Latvia,LVA,32191
Greece,GRC,30722
Seychelles,SYC,30517
Croatia,HRV,30141
Malaysia,MYS,29620
Russia,RUS,29181
Oman,OMN,28507
Turkey,TUR,28134
St. Kitts and Nevis,KNA,27608
Kazakhstan,KAZ,27518
Trinidad and Tobago,TTO,27334
Curacao,CUW,25563
Chile,CHL,25155
Bulgaria,BGR,24790
Mauritius,MUS,23882
Montenegro,MNE,23189
Argentina,ARG,23040
Antigua and Barbuda,ATG,22880
Uruguay,URY,22515
Small states,SST,21510
Mexico,MEX,20582
Costa Rica,CRI,20443
Maldives,MDV,20395
Belarus,BLR,19997
Equatorial Guinea,GNQ,19379
Thailand,THA,19277
Dominican Republic,DOM,19228
Serbia,SRB,19013
Botswana,BWA,18553
Palau,PLW,18357
Grenada,GRD,17793
World,WLD,17678
North Macedonia,MKD,17607
Upper middle income,UMC,17487
Suriname,SUR,17256
China,CHN,16830
Barbados,BRB,16331
St. Lucia,LCA,16132
Bosnia and Herzegovina,BIH,15883
Libya,LBY,15846
Georgia,GEO,15656
Colombia,COL,15635
Gabon,GAB,15612
Brazil,BRA,15300
Arab World,ARB,15256
Lebanon,LBN,15196
Azerbaijan,AZE,15041
Albania,ALB,14496
Fiji,FJI,14290
Armenia,ARM,14258
IBRD only,IBD,13992
Guyana,GUY,13661
Sri Lanka,LKA,13657
Moldova,MDA,13627
Peru,PER,13416
Ukraine,UKR,13341
Paraguay,PRY,13246
St. Vincent and the Grenadines,VCT,13038
South Africa,ZAF,13034
Iran,IRN,12937
Mongolia,MNG,12862
Dominica,DMA,12444
Bhutan,BTN,12356
Indonesia,IDN,12335
Egypt,EGY,12284
Nauru,NRU,12095
Algeria,DZA,12020
Ecuador,ECU,11879
Kosovo,XKX,11871
Iraq,IRQ,11363
Tunisia,TUN,11232
Jordan,JOR,10517
Jamaica,JAM,10193
Namibia,NAM,10064
Philippines,PHL,9302
El Salvador,SLV,9164
Bolivia,BOL,9111
Guatemala,GTM,9020
Eswatini,SWZ,9003
Vietnam,VNM,8397
Lao PDR,LAO,8173
Morocco,MAR,7826
Cabo Verde,CPV,7489
Belize,BLZ,7315
Uzbekistan,UZB,7308
India,IND,6997
Angola,AGO,6966
Samoa,WSM,6796
Tonga,TON,6666
South Asia,SAS,6500
West Bank and Gaza,PSE,6495
Honduras,HND,5981
Djibouti,DJI,5780
Ghana,GHA,5652
Nicaragua,NIC,5646
Kyrgyz Republic,KGZ,5486
Cote d'Ivoire,CIV,5443
Mauritania,MRT,5427
Myanmar,MMR,5370
Nigeria,NGA,5363
Bangladesh,BGD,4964
Pakistan,PAK,4898
Cambodia,KHM,4583
Papua New Guinea,PNG,4548
Kenya,KEN,4521
Tuvalu,TUV,4471
Sao Tome and Principe,STP,4145
Sudan,SDN,4123
Congo,COG,3836
Cameroon,CMR,3803
Timor-Leste,TLS,3710
Zambia,ZMB,3624
Nepal,NPL,3568
Senegal,SEN,3545
Tajikistan,TJK,3529
Benin,BEN,3433
Vanuatu,VUT,3293
Comoros,COM,3195
Haiti,HTI,3034
Zimbabwe,ZWE,2961
Lesotho,LSO,2824
Solomon Islands,SLB,2781
Tanzania,TZA,2771
Guinea,GIN,2675
Mali,MLI,2424
Kiribati,KIR,2372
Rwanda,RWA,2325
Gambia,GMB,2321
Ethiopia,ETH,2320
Uganda,UGA,2284
Burkina Faso,BFA,2275
Afghanistan,AFG,2156
Guinea-Bissau,GNB,2077
Sierra Leone,SLE,1794
Madagascar,MDG,1720
Togo,TGO,1667
Chad,TCD,1650
Liberia,LBR,1491
Mozambique,MOZ,1338
Niger,NER,1279
"Congo, Dem. Rep.",COD,1147
Malawi,MWI,1107
Central African Republic,CAF,987
Burundi,BDI,785
